N° Edição|Ano|Data|Município|Entidade|Categoria|Documento|Arquivo|URL|Identificador
5461_B|2.025|03/12/2025|Avelino Lopes|Prefeitura|LRF|LRF RREO 5 Bimestre 2025 ANEXO 08 MDE|DM_5461_B_019_Avelino_Lopes_LRF_RREO_5_Bimestre_2025_ANEXO_08_MDE_pag_156.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5461_B/DM_5461_B_019_Avelino_Lopes_LRF_RREO_5_Bimestre_2025_ANEXO_08_MDE_pag_156.pdf|125278A9ED8B0C9E
5461_B|2.025|03/12/2025|Avelino Lopes|Prefeitura|LRF|LRF RREO 5 Bimestre 2025 ANEXO 09 OP CREDITO|DM_5461_B_020_Avelino_Lopes_LRF_RREO_5_Bimestre_2025_ANEXO_09_OP_CREDITO_pag_159.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5461_B/DM_5461_B_020_Avelino_Lopes_LRF_RREO_5_Bimestre_2025_ANEXO_09_OP_CREDITO_pag_159.pdf|0E28A840D4ED0CA9
5461_B|2.025|03/12/2025|Avelino Lopes|Prefeitura|LRF|LRF RREO 5 Bimestre 2025 ANEXO 10 PROJECAO RPPS|DM_5461_B_021_Avelino_Lopes_LRF_RREO_5_Bimestre_2025_ANEXO_10_PROJECAO_RPPS_pag_160.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5461_B/DM_5461_B_021_Avelino_Lopes_LRF_RREO_5_Bimestre_2025_ANEXO_10_PROJECAO_RPPS_pag_160.pdf|0047F18D2D890CBB
5461_B|2.025|03/12/2025|Avelino Lopes|Prefeitura|LRF|LRF RREO 5 Bimestre 2025 ANEXO 11 ALIENACAO|DM_5461_B_022_Avelino_Lopes_LRF_RREO_5_Bimestre_2025_ANEXO_11_ALIENACAO_pag_161.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5461_B/DM_5461_B_022_Avelino_Lopes_LRF_RREO_5_Bimestre_2025_ANEXO_11_ALIENACAO_pag_161.pdf|089B925F5EC50CBD
5461_B|2.025|03/12/2025|Avelino Lopes|Prefeitura|LRF|LRF RREO 5 Bimestre 2025 ANEXO 12 SAUDE A|DM_5461_B_023_Avelino_Lopes_LRF_RREO_5_Bimestre_2025_ANEXO_12_SAUDE_A_pag_162.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5461_B/DM_5461_B_023_Avelino_Lopes_LRF_RREO_5_Bimestre_2025_ANEXO_12_SAUDE_A_pag_162.pdf|0471C1F646270CC0
5461_B|2.025|03/12/2025|Avelino Lopes|Prefeitura|LRF|LRF RREO 5 Bimestre 2025 ANEXO 12 SAUDE B|DM_5461_B_024_Avelino_Lopes_LRF_RREO_5_Bimestre_2025_ANEXO_12_SAUDE_B_pag_164.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5461_B/DM_5461_B_024_Avelino_Lopes_LRF_RREO_5_Bimestre_2025_ANEXO_12_SAUDE_B_pag_164.pdf|167C491306290CCC
5461_B|2.025|03/12/2025|Avelino Lopes|Prefeitura|LRF|LRF RREO 5 Bimestre 2025 ANEXO 13 PPP|DM_5461_B_025_Avelino_Lopes_LRF_RREO_5_Bimestre_2025_ANEXO_13_PPP_pag_166.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5461_B/DM_5461_B_025_Avelino_Lopes_LRF_RREO_5_Bimestre_2025_ANEXO_13_PPP_pag_166.pdf|167C491306290CD4
5461_B|2.025|03/12/2025|Avelino Lopes|Prefeitura|LRF|LRF RREO 5 Bimestre 2025 ANEXO 14 SIMPLIFICADO|DM_5461_B_026_Avelino_Lopes_LRF_RREO_5_Bimestre_2025_ANEXO_14_SIMPLIFICADO_pag_167.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5461_B/DM_5461_B_026_Avelino_Lopes_LRF_RREO_5_Bimestre_2025_ANEXO_14_SIMPLIFICADO_pag_167.pdf|167C491306290CDC
5462|2.025|04/12/2025|Avelino Lopes|Prefeitura|Licitacao|Licitacao Concorrencia Eletronica 008-25 Aviso|DM_5462_017_Avelino_Lopes_Licitacao_Concorrencia_Eletronica_008-25_Aviso_pag_2.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5462/DM_5462_017_Avelino_Lopes_Licitacao_Concorrencia_Eletronica_008-25_Aviso_pag_2.pdf|0CC562DFBFD9FF91
5464|2.025|09/12/2025|Avelino Lopes|Prefeitura|Licitacao|Licitacao Concorrencia 009-25 Aviso|DM_5464_017_Avelino_Lopes_Licitacao_Concorrencia_009-25_Aviso_pag_64.pdf|http://www.diarioficialdosmunicipios.org/intranet/_lib/file/doc/pdfs/novo2/5464/DM_5464_017_Avelino_Lopes_Licitacao_Concorrencia_009-25_Aviso_pag_64.pdf|0F8BEE44E5409315
